doc,sdg,score_a,score_b,score_c,score_a_norm,score_b_norm,score_c_norm,sc,sc_rank,rank_a,rank_b,rank_c,rc,rc_rank,fuzz,rc2,rc_rank2
1999wess_part2,16,0.043188811234976296,0.091105088172555,0.024,0.2023723224644909,0.4474773370867478,0.038107335662114966,0.05276463313584376,7,8,4,6,6.0,5,492,116.00006548840165,4
1999wess_part2,17,0.13648251794884758,0.19969352762319026,0.0962,0.6395288638457007,1.0,0.15274690377897746,0.14412534852401263,2,2,1,3,2.0,1,-313,13.999999132179823,1
2000wess_part2,1,0.02670907518880664,0.057590698131528284,0.0833,0.16603359663980477,0.32085674865601127,0.27195559908586353,0.05586659110677831,7,11,9,5,8.333333333333334,8,-576,226.99983277389282,8
2000wess_part2,2,0.14957858151659922,0.08054420819581098,0.1532,0.9298688034198024,0.4515334410383033,0.5001632386549134,0.12777426323747007,3,2,4,2,2.6666666666666665,2,112,24.00000031301419,2
2000wess_part2,3,0.0061265836289139414,0.06089133644125607,0.0203,0.03807970338694301,0.3396476218539482,0.0662748938948743,0.02910597335672334,10,13,8,9,10.0,9,-705,313.99969430556075,9
2000wess_part2,4,0.1442018129915173,0.17688298484788803,0.1351,0.8964433814342404,1.0,0.44107084557623244,0.15206159927980178,2,3,1,3,2.3333333333333335,1,500,19.000004943756657,1
2000wess_part2,5,1.1336434564451992e-06,0.014675937733138451,0.0045000000000000005,0.0,0.07653860613511898,0.014691478942213516,0.006392357125531632,14,17,14,12,14.333333333333334,15,67,629.0000548941716,16
2000wess_part2,6,1.1748904629998312e-06,0.006428244795798216,0.0068000000000000005,2.564176964841177e-07,0.029583642392405088,0.02220045706823376,0.004409806562087073,15,16,15,10,13.666666666666666,14,-570,580.9995950768658,14
2000wess_part2,7,0.0001091967330660889,0.004396409711663761,0.0045000000000000005,0.0006717890782197833,0.018016196388835268,0.014691478942213516,0.00300186881490995,16,15,16,12,14.333333333333334,15,384,625.0002342482154,15
2000wess_part2,8,0.11700727432561767,0.1125226021854812,0.3063,0.7273847867839296,0.6335897253523276,1.0,0.17860995883703298,1,5,3,1,3.0,3,-828,34.99996667647056,3
2000wess_part2,9,0.16085979168536296,0.06930185936791716,0.1014,1.0,0.38752959346454385,0.33104799216454456,0.11052055035109337,5,1,6,4,3.6666666666666665,4,913,53.000000058891544,4
2000wess_part2,10,0.07490285590553353,0.04319950412330477,0.0766,0.4656368713617135,0.23892620177408375,0.2500816193274567,0.06490078667627942,6,6,11,6,7.666666666666667,7,-834,192.9999459622727,7
2000wess_part2,11,0.013506099942208083,0.04485461666673227,0.0023,0.083955482801761,0.24834892762689798,0.0075089781260202415,0.020220238869646783,13,12,10,14,12.0,12,-46,439.99998352938735,12
2000wess_part2,12,0.03564025667620437,0.06384351494329114,0.0023,0.2215555162934612,0.35645467754554616,0.0075089781260202415,0.03392792387316517,9,9,7,14,10.0,9,-120,325.999978631538,10
2000wess_part2,13,0.0566602450580276,0.02014027255870938,0.0,0.3522291687887291,0.10764762602250029,0.0,0.025600172538912325,11,7,13,16,12.0,12,-312,473.99997011569,13
2000wess_part2,14,0.003757720823903724,0.001231844267036223,0.0,0.023353341537069278,0.0,0.0,0.001663188363646649,17,14,17,16,15.666666666666666,17,-868,740.9995503122517,17
2000wess_part2,15,0.03333075167575494,0.03170512279020129,0.0045000000000000005,0.20719816040996397,0.1734875072396031,0.014691478942213516,0.02317862482198541,12,10,12,12,11.333333333333334,11,-133,387.999969328032,11
2000wess_part2,16,0.046581705878668896,0.06971247412359596,0.0405,0.28957454203725475,0.3898672654792029,0.13222331047992164,0.05226472666742162,8,8,5,8,7.0,6,-742,152.99990122170118,6
2000wess_part2,17,0.1310257394358957,0.14207836911664684,0.058600000000000006,0.81453250566286,0.8018537447798655,0.1913157035586027,0.11056803618418083,4,4,2,7,4.333333333333333,5,-177,68.9999960735241,5
2001_World_Public_Sector_Report,1,0.07305739383363834,0.047044851273936025,0.1465,0.34313082445417714,0.22339564131277423,0.46404814697497626,0.08886741503585811,5,5,7,3,5.0,3,738,83.00002976451509,3
2001_World_Public_Sector_Report,2,0.023872654179468288,0.10522772166635547,0.0051,0.09584270837949115,0.5205809494723265,0.01615457713018689,0.044733458615274585,7,13,4,13,10.0,11,993,354.0004304646799,11
2001_World_Public_Sector_Report,3,0.005046985723460002,0.19908827168228274,0.0682,0.0011921293774279852,1.0,0.21602787456445993,0.09077841913524758,4,16,1,6,7.666666666666667,6,-355,292.9997480272609,9
2001_World_Public_Sector_Report,4,0.035939627593276534,0.052228281752667145,0.0253,0.15651232141811516,0.2498714644159607,0.08013937282229966,0.037822636448647896,10,10,6,8,8.0,7,-443,199.9998979669574,6
2001_World_Public_Sector_Report,5,0.04679504270058821,0.022322441113640658,0.0051,0.21109053348085188,0.09711900641351923,0.01615457713018689,0.024739161271409616,13,9,12,13,11.333333333333334,13,-202,393.9999639767385,13
2001_World_Public_Sector_Report,6,0.004809875368164261,0.01725338677741808,0.0152,0.0,0.07122739149614839,0.04814697497624327,0.012421087381860782,14,17,13,10,13.333333333333334,14,769,558.0006299901962,15
