doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
policybrief21,3,0.0006196592077601998,844,409.0002451849103,11,2969,policybrief21,2,0.15079365079365079,153,521.0001086411702,14,policybrief21,6,0.0,-391,537.9998302725558,15,0.007548556141008399
policybrief21,11,7.01593064627485e-05,-871,296.9996883247936,9,2970,policybrief21,3,0.125,844,409.0002451849103,11,policybrief21,9,0.0,597,216.0000385470236,8,0.005205411669673479
policybrief21,6,3.97321186316147e-05,-391,537.9998302725558,15,2971,policybrief21,14,0.11904761904761903,-20,601.9999836153577,17,policybrief21,11,0.0,-871,296.9996883247936,9,0.004722535721808488
policybrief21,5,3.7099997560663826e-05,-702,595.9996363888929,16,2972,policybrief21,15,0.11904761904761903,-455,376.9999392494592,10,policybrief21,12,0.0,-115,201.99999885197116,7,0.004722640103646859
policybrief21,16,1.9282420224290533e-06,330,469.0002011488027,12,2973,policybrief21,6,0.08928571428571427,-391,537.9998302725558,15,policybrief21,14,0.0,-20,601.9999836153577,17,0.0026572555382540107
policybrief21,2,2.1481761622618016e-07,153,521.0001086411702,14,2974,policybrief21,4,0.0,976,481.00017439672047,13,policybrief21,15,0.0,-455,376.9999392494592,10,1.538220274703281e-14
policybrief21,14,0.0,-20,601.9999836153577,17,2975,policybrief21,5,0.0,-702,595.9996363888929,16,policybrief21,16,0.0,330,469.0002011488027,12,
policybrief20,6,1.0,-829,3.0,1,2976,policybrief20,6,1.0,-829,3.0,1,policybrief20,6,1.0,-829,3.0,1,
policybrief20,13,0.6681025102752307,931,152.00000291441754,5,2977,policybrief20,3,0.8191985088536807,453,237.0000602884536,8,policybrief20,13,0.666747220879652,931,152.00000291441754,5,0.007678872133450829
policybrief20,2,0.5593547318306282,565,99.00000568700122,3,2978,policybrief20,1,0.33799316557937203,-464,60.999970065874464,2,policybrief20,2,0.24987916868052198,565,99.00000568700122,3,0.02542335727496254
policybrief20,14,0.21521429998606784,-524,473.9999879482619,12,2979,policybrief20,11,0.2288824875031771,-817,233.99992208131926,7,policybrief20,1,0.16674722087965202,-464,60.999970065874464,2,0.0010661114109144969
policybrief20,15,0.2021326963186787,-488,109.99998031833456,4,2980,policybrief20,12,0.22087604846225534,-208,293.9999520978725,9,policybrief20,7,0.08337361043982601,-950,180.99983079731518,6,0.005560325698411807
policybrief20,1,0.20207870034181236,-464,60.999970065874464,2,2981,policybrief20,4,0.2180801491146318,1000,349.0003578915056,11,policybrief20,9,0.08337361043982601,-132,325.9999616436039,10,0.00541546604886913
policybrief20,11,0.05493359145207877,-817,233.99992208131926,7,2982,policybrief20,15,0.2082945013979496,-488,109.99998031833456,4,policybrief20,15,0.08337361043982601,-488,109.99998031833456,4,0.00665560539620339
policybrief20,3,0.02436396408253434,453,237.0000602884536,8,2983,policybrief20,7,0.18313140726933824,-950,180.99983079731518,6,policybrief20,16,0.08337361043982601,-267,487.9998103499786,13,0.0064401429012609784
policybrief20,7,0.004254113382677276,-950,180.99983079731518,6,2984,policybrief20,2,0.17054986020503254,565,99.00000568700122,3,policybrief20,3,0.0,453,237.0000602884536,8,0.009459937951305616
policybrief20,12,0.0030452937644088645,-208,293.9999520978725,9,2985,policybrief20,8,0.1677539608574091,324,494.0001974915501,14,policybrief20,4,0.0,1000,349.0003578915056,11,0.009213268368835577
policybrief20,9,0.0030452801339204863,-132,325.9999616436039,10,2986,policybrief20,17,0.1314072693383038,-11,578.9999909900232,16,policybrief20,5,0.0,943,621.0004884416201,17,0.005625657406424965
policybrief20,4,0.00017906501433521916,1000,349.0003578915056,11,2987,policybrief20,13,0.11602982292637463,931,152.00000291441754,5,policybrief20,8,0.0,324,494.0001974915501,14,0.004480724996899862
policybrief20,10,0.0001717145915361513,-252,562.9998906104256,15,2988,policybrief20,9,0.0559179869524697,-132,325.9999616436039,10,policybrief20,10,0.0,-252,562.9998906104256,15,0.0010390829388094837
policybrief20,5,6.0646754567032055e-05,943,621.0004884416201,17,2989,policybrief20,16,0.041938490214352274,-267,487.9998103499786,13,policybrief20,11,0.0,-817,233.99992208131926,7,0.000585432402055073
policybrief20,8,5.5498909162399495e-05,324,494.0001974915501,14,2990,policybrief20,10,0.039142590866728784,-252,562.9998906104256,15,policybrief20,12,0.0,-208,293.9999520978725,9,0.0005099910429313814
policybrief20,16,3.0143868513684447e-06,-267,487.9998103499786,13,2991,policybrief20,5,0.027958993476234845,943,621.0004884416201,17,policybrief20,14,0.0,-524,473.9999879482619,12,0.0002605403486894528
